Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 36.5754, 36.5754, 0, 94
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 12.17, 35.83, 0.25, 5
1, 6, 13, 0, 36.5754, 17.92, 0.370, 1.370, 0.004

0, 6, 12, 1, 36.5754, 17.92, 0.260, 1.386, 0.004

1, 6, 13, 1, 36.5754, 17.92, 0.360, 1.382, 0.004

0, 6, 12, 2, 36.5754, 17.92, 0.260, 1.386, 0.004

1, 6, 13, 2, 36.5754, 17.92, 0.360, 1.373, 0.004

0, 6, 12, 3, 36.5754, 17.92, 0.260, 1.395, 0.004

1, 6, 13, 3, 36.5754, 17.92, 0.360, 1.378, 0.004

0, 6, 12, 4, 36.5754, 17.92, 0.260, 1.393, 0.004

1, 6, 13, 4, 36.5754, 17.92, 0.360, 1.382, 0.004

0, 6, 12, 0, 36.5754, 18.17, 0.260, 1.391, 0.004

1, 6, 13, 0, 36.5754, 18.17, 0.370, 1.371, 0.004

0, 6, 12, 1, 36.5754, 18.17, 0.260, 1.389, 0.004

1, 6, 13, 1, 36.5754, 18.17, 0.360, 1.376, 0.004

0, 6, 12, 2, 36.5754, 18.17, 0.260, 1.399, 0.004

1, 6, 13, 2, 36.5754, 18.17, 0.350, 1.382, 0.004

0, 6, 12, 3, 36.5754, 18.17, 0.260, 1.392, 0.004

1, 6, 13, 3, 36.5754, 18.17, 0.370, 1.383, 0.004

0, 6, 12, 4, 36.5754, 18.17, 0.260, 1.391, 0.004

1, 6, 13, 4, 36.5754, 18.17, 0.360, 1.364, 0.004

0, 6, 12, 0, 36.5754, 18.42, 0.260, 1.391, 0.004

1, 6, 13, 0, 36.5754, 18.42, 0.360, 1.385, 0.004

0, 6, 12, 1, 36.5754, 18.42, 0.260, 1.382, 0.004

1, 6, 13, 1, 36.5754, 18.42, 0.370, 1.379, 0.004

0, 6, 12, 2, 36.5754, 18.42, 0.260, 1.383, 0.004

1, 6, 13, 2, 36.5754, 18.42, 0.360, 1.381, 0.004

0, 6, 12, 3, 36.5754, 18.42, 0.250, 1.384, 0.004

1, 6, 13, 3, 36.5754, 18.42, 0.360, 1.386, 0.004

0, 6, 12, 4, 36.5754, 18.42, 0.260, 1.389, 0.004

1, 6, 13, 4, 36.5754, 18.42, 0.350, 1.380, 0.004

0, 6, 12, 0, 36.5754, 18.67, 0.260, 1.388, 0.004

1, 6, 13, 0, 36.5754, 18.67, 0.370, 1.370, 0.004

0, 6, 12, 1, 36.5754, 18.67, 0.260, 1.392, 0.004

1, 6, 13, 1, 36.5754, 18.67, 0.360, 1.386, 0.004

0, 6, 12, 2, 36.5754, 18.67, 0.260, 1.390, 0.004

1, 6, 13, 2, 36.5754, 18.67, 0.360, 1.384, 0.004

0, 6, 12, 3, 36.5754, 18.67, 0.260, 1.386, 0.004

1, 6, 13, 3, 36.5754, 18.67, 0.370, 1.382, 0.004

0, 6, 12, 4, 36.5754, 18.67, 0.260, 1.389, 0.004

1, 6, 13, 4, 36.5754, 18.67, 0.360, 1.376, 0.004

0, 6, 12, 0, 36.5754, 18.92, 0.260, 1.391, 0.004

1, 6, 13, 0, 36.5754, 18.92, 0.360, 1.380, 0.004

0, 6, 12, 1, 36.5754, 18.92, 0.260, 1.398, 0.004

1, 6, 13, 1, 36.5754, 18.92, 0.370, 1.383, 0.004

0, 6, 12, 2, 36.5754, 18.92, 0.260, 1.389, 0.004

1, 6, 13, 2, 36.5754, 18.92, 0.360, 1.386, 0.004

0, 6, 12, 3, 36.5754, 18.92, 0.260, 1.391, 0.004

1, 6, 13, 3, 36.5754, 18.92, 0.360, 1.372, 0.004

0, 6, 12, 4, 36.5754, 18.92, 0.260, 1.398, 0.004

1, 6, 13, 4, 36.5754, 18.92, 0.360, 1.378, 0.004

0, 6, 12, 0, 36.5754, 19.17, 0.260, 1.387, 0.004

1, 6, 13, 0, 36.5754, 19.17, 0.370, 1.371, 0.004

0, 6, 12, 1, 36.5754, 19.17, 0.260, 1.387, 0.004

1, 6, 13, 1, 36.5754, 19.17, 0.370, 1.376, 0.004

0, 6, 12, 2, 36.5754, 19.17, 0.260, 1.385, 0.004

1, 6, 13, 2, 36.5754, 19.17, 0.360, 1.382, 0.004

0, 6, 12, 3, 36.5754, 19.17, 0.250, 1.386, 0.004

1, 6, 13, 3, 36.5754, 19.17, 0.360, 1.384, 0.004

0, 6, 12, 4, 36.5754, 19.17, 0.260, 1.390, 0.004

1, 6, 13, 4, 36.5754, 19.17, 0.360, 1.385, 0.004

0, 6, 12, 0, 36.5754, 19.42, 0.260, 1.387, 0.004

1, 6, 13, 0, 36.5754, 19.42, 0.360, 1.380, 0.004

0, 6, 12, 1, 36.5754, 19.42, 0.260, 1.391, 0.004

1, 6, 13, 1, 36.5754, 19.42, 0.360, 1.381, 0.004

0, 6, 12, 2, 36.5754, 19.42, 0.260, 1.390, 0.004

1, 6, 13, 2, 36.5754, 19.42, 0.360, 1.382, 0.004

0, 6, 12, 3, 36.5754, 19.42, 0.260, 1.388, 0.004

1, 6, 13, 3, 36.5754, 19.42, 0.370, 1.382, 0.004

0, 6, 12, 4, 36.5754, 19.42, 0.260, 1.388, 0.004

1, 6, 13, 4, 36.5754, 19.42, 0.360, 1.386, 0.004

0, 6, 12, 0, 36.5754, 19.67, 0.260, 1.389, 0.004

1, 6, 13, 0, 36.5754, 19.67, 0.360, 1.383, 0.004

0, 6, 12, 1, 36.5754, 19.67, 0.260, 1.390, 0.004

1, 6, 13, 1, 36.5754, 19.67, 0.360, 1.389, 0.004

0, 6, 12, 2, 36.5754, 19.67, 0.260, 1.391, 0.004

1, 6, 13, 2, 36.5754, 19.67, 0.360, 1.379, 0.004

0, 6, 12, 3, 36.5754, 19.67, 0.260, 1.390, 0.004

1, 6, 13, 3, 36.5754, 19.67, 0.360, 1.379, 0.004

0, 6, 12, 4, 36.5754, 19.67, 0.260, 1.393, 0.004

1, 6, 13, 4, 36.5754, 19.67, 0.360, 1.389, 0.004

0, 6, 12, 0, 36.5754, 19.92, 0.260, 1.403, 0.004

1, 6, 13, 0, 36.5754, 19.92, 0.360, 1.384, 0.004

0, 6, 12, 1, 36.5754, 19.92, 0.260, 1.396, 0.004

1, 6, 13, 1, 36.5754, 19.92, 0.370, 1.389, 0.004

0, 6, 12, 2, 36.5754, 19.92, 0.260, 1.392, 0.004

1, 6, 13, 2, 36.5754, 19.92, 0.360, 1.375, 0.004

0, 6, 12, 3, 36.5754, 19.92, 0.260, 1.385, 0.004

1, 6, 13, 3, 36.5754, 19.92, 0.360, 1.385, 0.004

0, 6, 12, 4, 36.5754, 19.92, 0.260, 1.388, 0.004

1, 6, 13, 4, 36.5754, 19.92, 0.360, 1.380, 0.004

0, 6, 12, 0, 36.5754, 20.17, 0.250, 1.395, 0.004

1, 6, 13, 0, 36.5754, 20.17, 0.360, 1.382, 0.004

0, 6, 12, 1, 36.5754, 20.17, 0.260, 1.394, 0.004

1, 6, 13, 1, 36.5754, 20.17, 0.370, 1.384, 0.004

0, 6, 12, 2, 36.5754, 20.17, 0.260, 1.390, 0.004

1, 6, 13, 2, 36.5754, 20.17, 0.370, 1.377, 0.004

0, 6, 12, 3, 36.5754, 20.17, 0.260, 1.390, 0.004

1, 6, 13, 3, 36.5754, 20.17, 0.360, 1.377, 0.004

0, 6, 12, 4, 36.5754, 20.17, 0.260, 1.390, 0.004

1, 6, 13, 4, 36.5754, 20.17, 0.370, 1.379, 0.004

0, 6, 12, 0, 36.5754, 20.42, 0.260, 1.384, 0.004

1, 6, 13, 0, 36.5754, 20.42, 0.360, 1.383, 0.004

0, 6, 12, 1, 36.5754, 20.42, 0.260, 1.393, 0.004

1, 6, 13, 1, 36.5754, 20.42, 0.370, 1.373, 0.004

0, 6, 12, 2, 36.5754, 20.42, 0.260, 1.394, 0.004

1, 6, 13, 2, 36.5754, 20.42, 0.370, 1.383, 0.004

0, 6, 12, 3, 36.5754, 20.42, 0.260, 1.390, 0.004

1, 6, 13, 3, 36.5754, 20.42, 0.370, 1.382, 0.004

0, 6, 12, 4, 36.5754, 20.42, 0.260, 1.394, 0.004

1, 6, 13, 4, 36.5754, 20.42, 0.360, 1.389, 0.004

